"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.538939 "Chicago" 2000-12-10 2 1 28
0.469147 "Les Miserables" 2000-12-10 4 1 28
0.415406 "Rent" 2000-12-10 6 1 28
0.971383 "The Lion King" 2000-12-10 8 1 28
0.664813 "The Phantom of the Opera" 2000-12-10 9 1 28
0.628356 "Beauty and the Beast" 2000-12-17 1 1 29
0.482939 "Chicago" 2000-12-17 2 1 29
0.428869 "Les Miserables" 2000-12-17 4 1 29
0.386409 "Rent" 2000-12-17 6 1 29
0.976414 "The Lion King" 2000-12-17 8 1 29
0.613318 "The Phantom of the Opera" 2000-12-17 9 1 29
0.584433 "Beauty and the Beast" 2000-12-24 1 1 30
0.391752 "Chicago" 2000-12-24 2 1 30
0.428256 "Les Miserables" 2000-12-24 4 1 30
0.410636 "Rent" 2000-12-24 6 1 30
1.113833 "The Lion King" 2000-12-24 8 1 30
0.690585 "The Phantom of the Opera" 2000-12-24 9 1 30
0.927536 "Beauty and the Beast" 2000-12-31 1 1 31
0.749262 "Chicago" 2000-12-31 2 1 31
0.800147 "Les Miserables" 2000-12-31 4 1 31
0.608747 "Rent" 2000-12-31 6 1 31
1.115828 "The Lion King" 2000-12-31 8 1 31
1.006188 "The Phantom of the Opera" 2000-12-31 9 1 31
0.571065 "Beauty and the Beast" 2001-01-07 1 2 32
0.436725 "Chicago" 2001-01-07 2 2 32
0.516707 "Les Miserables" 2001-01-07 4 2 32
0.470791 "Rent" 2001-01-07 6 2 32
1.00579 "The Lion King" 2001-01-07 8 2 32
0.708059 "The Phantom of the Opera" 2001-01-07 9 2 32
0.550802 "Beauty and the Beast" 2001-01-14 1 2 33
0.470949 "Chicago" 2001-01-14 2 2 33
0.446955 "Les Miserables" 2001-01-14 4 2 33
0.435151 "Rent" 2001-01-14 6 2 33
1.00532 "The Lion King" 2001-01-14 8 2 33
0.624206 "The Phantom of the Opera" 2001-01-14 9 2 33
0.505542 "Beauty and the Beast" 2001-01-21 1 2 34
0.435419 "Chicago" 2001-01-21 2 2 34
0.402938 "Les Miserables" 2001-01-21 4 2 34
0.386461 "Rent" 2001-01-21 6 2 34
1.018959 "The Lion King" 2001-01-21 8 2 34
0.568128 "The Phantom of the Opera" 2001-01-21 9 2 34
0.499414 "Beauty and the Beast" 2001-01-28 1 2 35
0.435685 "Chicago" 2001-01-28 2 2 35
0.40116 "Les Miserables" 2001-01-28 4 2 35
0.349347 "Rent" 2001-01-28 6 2 35
1.00766 "The Lion King" 2001-01-28 8 2 35
0.540377 "The Phantom of the Opera" 2001-01-28 9 2 35
0.484241 "Beauty and the Beast" 2001-02-04 1 2 36
0.435818 "Chicago" 2001-02-04 2 2 36
0.381481 "Les Miserables" 2001-02-04 4 2 36
0.367423 "Rent" 2001-02-04 6 2 36
1.008174 "The Lion King" 2001-02-04 8 2 36
0.528176 "The Phantom of the Opera" 2001-02-04 9 2 36
0.526627 "Beauty and the Beast" 2001-02-11 1 2 37
0.455758 "Chicago" 2001-02-11 2 2 37
0.382725 "Les Miserables" 2001-02-11 4 2 37
0.385467 "Rent" 2001-02-11 6 2 37
1.007037 "The Lion King" 2001-02-11 8 2 37
0.53108 "The Phantom of the Opera" 2001-02-11 9 2 37
0.672196 "Beauty and the Beast" 2001-02-18 1 2 38
0.618516 "Chicago" 2001-02-18 2 2 38
0.492882 "Les Miserables" 2001-02-18 4 2 38
0.470515 "Rent" 2001-02-18 6 2 38
1.005694 "The Lion King" 2001-02-18 8 2 38
0.667376 "The Phantom of the Opera" 2001-02-18 9 2 38
0.643491 "Beauty and the Beast" 2001-02-25 1 2 39
0.648776 "Chicago" 2001-02-25 2 2 39
0.524535 "Les Miserables" 2001-02-25 4 2 39
